split,original_dataset,original_camera,images,scenes
test,Leipzig_Hannover,center,120,1
test,Hannover_BadBentheim,center,90,1
test,Goettingen_Hannover,center,66,1
test,Regensburg_Fuerth,center,58,1
test,S4R,center,28,2
test,GAF,rgb_12mp_left,27,3
test,GAF,center,21,1
test,Hamburg_Bremen,center,21,1
test,GAF,rgb_12mp_middle,18,3
test,GAF,rgb_12mp_right,17,3
test,OSDaR26_GAF,rgb_12mp_left,10,1
test,Itzehoe_Westerland,center,9,1
test,OSDaR26_GAF,rgb_12mp_right,9,1
test,OSDaR26_GAF,rgb_12mp_middle,6,1
train,OSDaR26_GAF,rgb_12mp_left,150,28
train,OSDaR26_GAF,rgb_12mp_right,135,28
train,Itzehoe_Westerland,center,129,6
train,OSDaR26_GAF,rgb_12mp_middle,128,37
train,GED_Berlin,center,122,1
train,Hannover_BadBentheim,center,113,1
train,Magdeburg_Leipzig,center,106,1
train,Biederitz_Leipzig,center,100,1
train,GAF,center,96,4
train,Hamburg_Frankfurt,center,88,1
train,OSDaR23,rgb_highres_center,52,42
train,Rheine_Berlin,center,45,1
train,OSDaR26_S4R,camera_long_range,43,16
train,OSDaR23,rgb_highres_right,38,32
train,OSDaR23,rgb_highres_left,37,32
train,Schelklingen_Gammertingen,center,33,1
train,Dreiseenbahn,center,26,1
train,S4R,center,18,4
train,GAF,rgb_12mp_right,17,2
train,GAF,rgb_12mp_left,12,2
train,GAF,rgb_12mp_middle,12,3
val,Hamburg_Itzehoe,center,135,2
val,Hamburg_Bremen,center,120,6
val,Leipzig_Hannover,center,82,1
val,Hannover_BadBentheim,center,50,1
val,S4R,center,24,1
val,OSDaR26_GAF,rgb_12mp_right,18,3
val,Itzehoe_Westerland,center,17,1
val,OSDaR26_GAF,rgb_12mp_left,17,3
val,OSDaR26_GAF,rgb_12mp_middle,16,3
val,GAF,center,15,1
val,GAF,rgb_12mp_middle,3,1
val,GAF,rgb_12mp_right,3,1
